豌豆,wāndòu,pea,我要买一磅<b>豌豆</b>。
按照,ànzhào,according to,大多数软件都是<b>按照</b>实现模型来设计的
暖洋洋,nuǎn yángyáng,warm,房间里<b>暖洋洋</b>的-很舒服。
舒适,shūshì,comfortable,气候<b>舒适</b>宜人
黑暗,hēi'àn,dark,一片闷热的<b>黑暗</b>吞没了汽车。
恐怕,kǒngpà,I am afraid that...,<b>恐怕</b>是...。
僵硬,jiāngyìng,stiff,<b>僵硬</b>的脖子（手臂）
丰满,fēngmǎn,full,她身体开始<b>丰满</b>起来了。
等待,děngdài,wait,
虚弱,xūruò,weak,他看上去<b>虚弱</b>有病态.
耐心,nàixīn,patient,小人物们必须<b>耐心</b>等待。
温和,wēnhé,mild,然而诺里斯持较<b>温和</b>的观点。
暖和,nuǎnhuo,warm,冬天要穿<b>暖和</b>些防止感冒。
愉快,yúkuài,happy,工具栏的出现带来了图标按钮，它是按钮和图标之间一次<b>愉快</b>的联姻。
兴奋,xīngfèn,excited,高度的<b>兴奋</b>
曾经,céngjīng,once,这就像有很多好软件<b>曾经</b>采用过软盘，就崇拜软盘一样。
